algorithm,snr_db,trial,detected,n_candidates,threshold
tfmf_2block_k2,-12,37,0,10,12.832636833190918
tfmf_2block_k4,-12,37,0,7,12.898365020751953
tfmf_2block_k7,-12,37,0,9,12.898113250732422
sq_det,-12,38,0,0,3.4031667709350586
tfmf_1block,-12,38,0,12,12.746935844421387
tfmf_2block,-12,38,0,11,12.793116569519043
tfmf_2block_k2,-12,38,0,6,12.832636833190918
tfmf_2block_k4,-12,38,0,9,12.898365020751953
tfmf_2block_k7,-12,38,0,8,12.898113250732422
sq_det,-12,39,0,0,3.4031667709350586
tfmf_1block,-12,39,0,9,12.746935844421387
tfmf_2block,-12,39,0,9,12.793116569519043
tfmf_2block_k2,-12,39,0,9,12.832636833190918
tfmf_2block_k4,-12,39,0,7,12.898365020751953
tfmf_2block_k7,-12,39,0,10,12.898113250732422
sq_det,-12,40,0,0,3.4031667709350586
tfmf_1block,-12,40,0,9,12.746935844421387
tfmf_2block,-12,40,0,10,12.793116569519043
tfmf_2block_k2,-12,40,0,6,12.832636833190918
tfmf_2block_k4,-12,40,0,8,12.898365020751953
tfmf_2block_k7,-12,40,0,9,12.898113250732422
sq_det,-12,41,0,0,3.4031667709350586
tfmf_1block,-12,41,0,9,12.746935844421387
tfmf_2block,-12,41,0,7,12.793116569519043
tfmf_2block_k2,-12,41,0,8,12.832636833190918
tfmf_2block_k4,-12,41,0,8,12.898365020751953
tfmf_2block_k7,-12,41,0,7,12.898113250732422
sq_det,-12,42,0,0,3.4031667709350586
tfmf_1block,-12,42,0,16,12.746935844421387
tfmf_2block,-12,42,0,3,12.793116569519043
tfmf_2block_k2,-12,42,0,12,12.832636833190918
tfmf_2block_k4,-12,42,0,10,12.898365020751953
tfmf_2block_k7,-12,42,0,4,12.898113250732422
sq_det,-12,43,0,0,3.4031667709350586
tfmf_1block,-12,43,0,12,12.746935844421387
tfmf_2block,-12,43,0,6,12.793116569519043
tfmf_2block_k2,-12,43,0,2,12.832636833190918
tfmf_2block_k4,-12,43,0,1,12.898365020751953
tfmf_2block_k7,-12,43,0,3,12.898113250732422
sq_det,-12,44,0,0,3.4031667709350586
tfmf_1block,-12,44,0,15,12.746935844421387
tfmf_2block,-12,44,0,10,12.793116569519043
tfmf_2block_k2,-12,44,0,8,12.832636833190918
tfmf_2block_k4,-12,44,0,12,12.898365020751953
tfmf_2block_k7,-12,44,0,8,12.898113250732422
sq_det,-12,45,0,0,3.4031667709350586
tfmf_1block,-12,45,0,15,12.746935844421387
tfmf_2block,-12,45,0,11,12.793116569519043
tfmf_2block_k2,-12,45,0,7,12.832636833190918
tfmf_2block_k4,-12,45,0,9,12.898365020751953
tfmf_2block_k7,-12,45,0,8,12.898113250732422
sq_det,-12,46,0,0,3.4031667709350586
tfmf_1block,-12,46,0,5,12.746935844421387
tfmf_2block,-12,46,0,13,12.793116569519043
tfmf_2block_k2,-12,46,0,10,12.832636833190918
tfmf_2block_k4,-12,46,0,10,12.898365020751953
tfmf_2block_k7,-12,46,0,9,12.898113250732422
sq_det,-12,47,0,0,3.4031667709350586
tfmf_1block,-12,47,0,18,12.746935844421387
tfmf_2block,-12,47,0,14,12.793116569519043
tfmf_2block_k2,-12,47,0,10,12.832636833190918
tfmf_2block_k4,-12,47,0,4,12.898365020751953
tfmf_2block_k7,-12,47,0,12,12.898113250732422
sq_det,-12,48,0,0,3.4031667709350586
tfmf_1block,-12,48,0,7,12.746935844421387
tfmf_2block,-12,48,0,8,12.793116569519043
tfmf_2block_k2,-12,48,0,7,12.832636833190918
tfmf_2block_k4,-12,48,0,5,12.898365020751953
tfmf_2block_k7,-12,48,0,8,12.898113250732422
sq_det,-12,49,0,0,3.4031667709350586
tfmf_1block,-12,49,0,15,12.746935844421387
tfmf_2block,-12,49,0,8,12.793116569519043
tfmf_2block_k2,-12,49,0,5,12.832636833190918
tfmf_2block_k4,-12,49,0,15,12.898365020751953
tfmf_2block_k7,-12,49,0,11,12.898113250732422
sq_det,-11,0,0,0,3.4031667709350586
tfmf_1block,-11,0,0,10,12.746935844421387
tfmf_2block,-11,0,0,9,12.793116569519043
tfmf_2block_k2,-11,0,0,7,12.832636833190918
tfmf_2block_k4,-11,0,0,8,12.898365020751953
tfmf_2block_k7,-11,0,0,10,12.898113250732422
sq_det,-11,1,0,0,3.4031667709350586
tfmf_1block,-11,1,0,10,12.746935844421387
tfmf_2block,-11,1,0,11,12.793116569519043
tfmf_2block_k2,-11,1,0,14,12.832636833190918
tfmf_2block_k4,-11,1,0,7,12.898365020751953
tfmf_2block_k7,-11,1,0,4,12.898113250732422
sq_det,-11,2,0,1,3.4031667709350586
tfmf_1block,-11,2,0,17,12.746935844421387
tfmf_2block,-11,2,0,13,12.793116569519043
tfmf_2block_k2,-11,2,0,14,12.832636833190918
tfmf_2block_k4,-11,2,0,2,12.898365020751953
tfmf_2block_k7,-11,2,0,10,12.898113250732422
sq_det,-11,3,0,0,3.4031667709350586
tfmf_1block,-11,3,0,17,12.746935844421387
tfmf_2block,-11,3,0,17,12.793116569519043
tfmf_2block_k2,-11,3,0,3,12.832636833190918
tfmf_2block_k4,-11,3,0,6,12.898365020751953
tfmf_2block_k7,-11,3,0,2,12.898113250732422
sq_det,-11,4,0,0,3.4031667709350586
tfmf_1block,-11,4,0,21,12.746935844421387
tfmf_2block,-11,4,0,6,12.793116569519043
tfmf_2block_k2,-11,4,0,10,12.832636833190918
tfmf_2block_k4,-11,4,0,7,12.898365020751953
tfmf_2block_k7,-11,4,0,4,12.898113250732422
sq_det,-11,5,0,0,3.4031667709350586
tfmf_1block,-11,5,0,18,12.746935844421387
tfmf_2block,-11,5,0,17,12.793116569519043
tfmf_2block_k2,-11,5,0,3,12.832636833190918
tfmf_2block_k4,-11,5,0,5,12.898365020751953
tfmf_2block_k7,-11,5,0,10,12.898113250732422
sq_det,-11,6,0,0,3.4031667709350586
tfmf_1block,-11,6,0,14,12.746935844421387
tfmf_2block,-11,6,0,7,12.793116569519043
tfmf_2block_k2,-11,6,0,8,12.832636833190918
tfmf_2block_k4,-11,6,0,5,12.898365020751953
tfmf_2block_k7,-11,6,0,7,12.898113250732422
sq_det,-11,7,0,1,3.4031667709350586
tfmf_1block,-11,7,0,11,12.746935844421387
tfmf_2block,-11,7,0,12,12.793116569519043
tfmf_2block_k2,-11,7,0,13,12.832636833190918
tfmf_2block_k4,-11,7,0,5,12.898365020751953
tfmf_2block_k7,-11,7,0,8,12.898113250732422
sq_det,-11,8,0,0,3.4031667709350586
tfmf_1block,-11,8,0,12,12.746935844421387
tfmf_2block,-11,8,0,10,12.793116569519043
tfmf_2block_k2,-11,8,0,7,12.832636833190918
tfmf_2block_k4,-11,8,0,4,12.898365020751953
tfmf_2block_k7,-11,8,0,8,12.898113250732422
sq_det,-11,9,0,0,3.4031667709350586
tfmf_1block,-11,9,0,11,12.746935844421387
