algorithm,snr_db,trial,detected,n_candidates,threshold
tfmf_2block,-11,49,0,12,12.793116569519043
sq_det,-10,0,0,4,2.304680824279785
tfmf_1block,-10,0,0,15,12.746935844421387
tfmf_2block,-10,0,0,14,12.793116569519043
sq_det,-10,1,0,4,2.304680824279785
tfmf_1block,-10,1,0,14,12.746935844421387
tfmf_2block,-10,1,0,8,12.793116569519043
sq_det,-10,2,1,11,2.304680824279785
tfmf_1block,-10,2,0,12,12.746935844421387
tfmf_2block,-10,2,0,4,12.793116569519043
sq_det,-10,3,0,7,2.304680824279785
tfmf_1block,-10,3,0,12,12.746935844421387
tfmf_2block,-10,3,0,9,12.793116569519043
sq_det,-10,4,1,14,2.304680824279785
tfmf_1block,-10,4,0,11,12.746935844421387
tfmf_2block,-10,4,0,16,12.793116569519043
sq_det,-10,5,0,7,2.304680824279785
tfmf_1block,-10,5,0,19,12.746935844421387
tfmf_2block,-10,5,0,16,12.793116569519043
sq_det,-10,6,0,12,2.304680824279785
tfmf_1block,-10,6,0,10,12.746935844421387
tfmf_2block,-10,6,0,9,12.793116569519043
sq_det,-10,7,0,9,2.304680824279785
tfmf_1block,-10,7,0,18,12.746935844421387
tfmf_2block,-10,7,0,13,12.793116569519043
sq_det,-10,8,1,13,2.304680824279785
tfmf_1block,-10,8,0,4,12.746935844421387
tfmf_2block,-10,8,0,13,12.793116569519043
sq_det,-10,9,1,9,2.304680824279785
tfmf_1block,-10,9,0,12,12.746935844421387
tfmf_2block,-10,9,0,10,12.793116569519043
sq_det,-10,10,1,10,2.304680824279785
tfmf_1block,-10,10,0,11,12.746935844421387
tfmf_2block,-10,10,0,8,12.793116569519043
sq_det,-10,11,0,5,2.304680824279785
tfmf_1block,-10,11,0,14,12.746935844421387
tfmf_2block,-10,11,0,13,12.793116569519043
sq_det,-10,12,0,11,2.304680824279785
tfmf_1block,-10,12,0,9,12.746935844421387
tfmf_2block,-10,12,0,11,12.793116569519043
sq_det,-10,13,1,15,2.304680824279785
tfmf_1block,-10,13,0,15,12.746935844421387
tfmf_2block,-10,13,0,14,12.793116569519043
sq_det,-10,14,0,8,2.304680824279785
tfmf_1block,-10,14,0,11,12.746935844421387
tfmf_2block,-10,14,0,9,12.793116569519043
sq_det,-10,15,0,14,2.304680824279785
tfmf_1block,-10,15,0,9,12.746935844421387
tfmf_2block,-10,15,0,20,12.793116569519043
sq_det,-10,16,1,8,2.304680824279785
tfmf_1block,-10,16,0,16,12.746935844421387
tfmf_2block,-10,16,0,14,12.793116569519043
sq_det,-10,17,0,6,2.304680824279785
tfmf_1block,-10,17,0,9,12.746935844421387
tfmf_2block,-10,17,0,14,12.793116569519043
sq_det,-10,18,1,12,2.304680824279785
tfmf_1block,-10,18,0,13,12.746935844421387
tfmf_2block,-10,18,0,12,12.793116569519043
sq_det,-10,19,0,7,2.304680824279785
tfmf_1block,-10,19,0,10,12.746935844421387
tfmf_2block,-10,19,0,13,12.793116569519043
sq_det,-10,20,1,13,2.304680824279785
tfmf_1block,-10,20,0,10,12.746935844421387
tfmf_2block,-10,20,0,11,12.793116569519043
sq_det,-10,21,1,10,2.304680824279785
tfmf_1block,-10,21,0,14,12.746935844421387
tfmf_2block,-10,21,0,10,12.793116569519043
sq_det,-10,22,0,19,2.304680824279785
tfmf_1block,-10,22,0,10,12.746935844421387
tfmf_2block,-10,22,0,13,12.793116569519043
sq_det,-10,23,1,13,2.304680824279785
tfmf_1block,-10,23,0,11,12.746935844421387
tfmf_2block,-10,23,0,8,12.793116569519043
sq_det,-10,24,1,12,2.304680824279785
tfmf_1block,-10,24,0,23,12.746935844421387
tfmf_2block,-10,24,0,6,12.793116569519043
sq_det,-10,25,1,8,2.304680824279785
tfmf_1block,-10,25,0,14,12.746935844421387
tfmf_2block,-10,25,0,3,12.793116569519043
sq_det,-10,26,1,13,2.304680824279785
tfmf_1block,-10,26,0,13,12.746935844421387
tfmf_2block,-10,26,0,11,12.793116569519043
sq_det,-10,27,0,12,2.304680824279785
tfmf_1block,-10,27,0,9,12.746935844421387
tfmf_2block,-10,27,0,10,12.793116569519043
sq_det,-10,28,1,6,2.304680824279785
tfmf_1block,-10,28,0,14,12.746935844421387
tfmf_2block,-10,28,0,5,12.793116569519043
sq_det,-10,29,0,5,2.304680824279785
tfmf_1block,-10,29,0,13,12.746935844421387
tfmf_2block,-10,29,0,13,12.793116569519043
sq_det,-10,30,1,11,2.304680824279785
tfmf_1block,-10,30,0,14,12.746935844421387
tfmf_2block,-10,30,0,9,12.793116569519043
sq_det,-10,31,1,11,2.304680824279785
tfmf_1block,-10,31,0,12,12.746935844421387
tfmf_2block,-10,31,0,9,12.793116569519043
